1,Estación,Código,Región,Departamento,Municipio,Latitud,Longitud,Altitud,Instrumentación Activa,Instrumentación No Activa,Ranking,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
45,Santiago Atitlán,INS071901CV,Altiplano Central,Sololá,Santiago Atitlán,14.630858,-91.232526,1569.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO, PLUVIÓGRAFO, TERMOHIGRÓGRAFO, VELETA, ANEMÓMETRO, TANQUE EVAPORACIÓN.",,12.0,,,,,,,,,,,,,,
46,Suiza Contenta,INS030801CV,Altiplano Central,Sacatepéquez,San Lucas Sacatepéquez,14.618572,-90.659128,2105.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO, PLUVIÓGRAFO, TERMOHIGRÓGRAFO, VELETA",,10.0,,,,,,,,,,,,,,
47,Tecún Umán Fegua Ayutla,INS121701CV,Pacífico,San Marcos,Ayutla,14.70195,-92.128059,29.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO, PLUVIÓGRAFO, TERMOHIGRÓGRAFO, VELETA, TANQUE EVAPORACIÓN, HELIÓGRAFO.",,12.0,,,,,,,,,,,,,,
48,Todos Santos,INS131501CV,Occidente,Huehuetenango,Todos Santos Cuchumatán,15.5080222,-91.6003111,2480.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO, EVAPORÍMETRO PICHÉ.","PLUVIÓGRAFO, TERMOHIGRÓGRAFO.",9.0,,,,,,,,,,,,,,
49,Poptún,INS171201CV,Norte,Petén,Poptún,16.32566,-89.41043,479.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO, VELETA.",BARÓMETRO.,9.0,,,,,,,,,,,,,,
50,San José Aeropuerto,INS050901CV,Pacífico,Escuintla,San José,13.936665,-90.835264,6.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO, PLUVIÓGRAFO, ANEMÓMETRO, BARÓMETRO, HELIÓGRAFO, MICROBARÓGRAFO.",,13.0,,,,,,,,,,,,,,
51,Concepción,INS050101AT,Bocacosta,Escuintla,Escuintla,14.32352,-90.78758,421.0,PLUVIÓMETRO.,,1.0,,,,,,,,,,,,,,
52,Amatitlán,INS011401AT,Altiplano Central,Guatemala,Amatitlán,14.46785,-90.63039,1205.0,PLUVIÓMETRO.,,1.0,,,,,,,,,,,,,,
53,Antigua Guatemala,INS030101AT,Altiplano Central,Sacatepéquez,Antigua Guatemala,14.53974,-90.7383,1539.0,PLUVIÓMETRO.,,1.0,,,,,,,,,,,,,,
54,Ixchiguán,INS122301AT,Occidente,San Marcos,Ixchiguán,15.16483,-91.9395,3336.0,PLUVIÓMETRO.,,1.0,,,,,,,,,,,,,,
55,Jalapa,INS210101AT,Valles de Oriente,Jalapa,Jalapa,14.59639,-89.96739,1352.0,,,0.0,,,,,,,,,,,,,,
56,La Reforma,INS122101AT,Bocacosta,San Marcos,La Reforma,14.8,-91.8167,1133.0,PLUVIÓMETRO.,,1.0,,,,,,,,,,,,,,
57,Lo de Coy,INS010801AT,Altiplano Central,Guatemala,Mixco,14.62109,-90.59922,1686.0,PLUVIÓMETRO.,,1.0,,,,,,,,,,,,,,
58,Mariscos,INS180501AT,Caribe,Izabal,Izabal,15.42866,-89.07781,16.0,PLUVIÓMETRO.,,1.0,,,,,,,,,,,,,,
59,Morales Met,INS180401AT,Caribe,Izabal,Morales,15.478211,-88.823711,123.0,PLUVIÓMETRO.,,1.0,,,,,,,,,,,,,,
60,Pachuté,INS090401AT,Occidente,Quetzaltenango,San Carlos Sija,14.98341,-91.57365,2682.0,PLUVIÓMETRO.,,1.0,,,,,,,,,,,,,,
61,Playa Grande Met (Ixcan),INS142201AT,Franja Transversal del Norte,Quiché,Ixcán,15.98888,-90.74017,186.0,PLUVIÓMETRO.,,1.0,,,,,,,,,,,,,,
62,San José Pinula,INS010301AT,Altiplano Central,Guatemala,San José Pinula,14.52392,-90.39191,1744.0,PLUVIÓMETRO.,,1.0,,,,,,,,,,,,,,
63,San Pedro Ayampuc,INS010701AT,Altiplano Central,Guatemala,San Pedro Ayampuc,14.7834166,-90.4500096,1269.0,PLUVIÓMETRO.,,1.0,,,,,,,,,,,,,,
64,Santa Cruz Quiché,INS140101AT,Occidente,Quiché,Santa Cruz del Quiché,15.05016,-91.15395,2082.0,PLUVIÓMETRO.,,1.0,,,,,,,,,,,,,,
65,Santa Margarita,INS040801AT,Bocacosta,Chimaltenango,Pochuta,14.50575,-91.01144,1137.0,PLUVIÓMETRO.,,1.0,,,,,,,,,,,,,,
66,Totonicapán,INS080101AT,Occidente,Totonicapán,Totonicapán,14.91082,-91.36441,2478.0,PLUVIÓMETRO.,,1.0,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,
